Heuristic1,Heuristic2,Wins1,Wins2,AvgDuration
1,2,0,5,106.28228479996324
1,3,3,2,80.15423372006043
1,4,3,2,98.31347233997658
1,5,0,5,138.1925951401703
2,3,5,0,81.35546767991036
2,4,4,1,129.78156434008852
2,5,3,2,153.4845023999922
3,4,5,0,94.02841752003879
3,5,2,3,104.24970989990979
4,5,1,4,170.3463509200141
