Dataset,Criterion,MaxDepth,Trial,Accuracy,NodeCount,ActualDepth,TrainingTime(ms)
Iris,IG,3,18,0.9,5,3,6.169
Iris,IG,3,19,0.866667,5,3,0
Iris,IG,3,20,0.9,5,3,9.604
Adult,IG,4,1,0.793333,359,4,205.572
Adult,IG,4,2,0.791667,317,4,176.279
Adult,IG,4,3,0.796667,333,4,228.369
Adult,IG,4,4,0.791667,322,4,207.233
Adult,IG,4,5,0.808333,342,4,175.602
Adult,IG,4,6,0.796667,344,4,214.909
Adult,IG,4,7,0.781667,325,4,269.273
Adult,IG,4,8,0.806667,329,4,238.316
Adult,IG,4,9,0.81,358,4,191.34
Adult,IG,4,10,0.801667,319,4,205.545
Adult,IG,4,11,0.785,340,4,232.961
Adult,IG,4,12,0.803333,332,4,219.697
Adult,IG,4,13,0.813333,359,4,217.515
Adult,IG,4,14,0.806667,347,4,198.571
Adult,IG,4,15,0.826667,350,4,200.527
Adult,IG,4,16,0.796667,361,4,238.124
Adult,IG,4,17,0.795,358,4,210.557
Adult,IG,4,18,0.788333,335,4,201.676
Adult,IG,4,19,0.798333,386,4,227.708
Adult,IG,4,20,0.811667,338,4,221.752
Iris,IG,4,1,0.866667,11,4,12.882
Iris,IG,4,2,0.9,9,4,9.983
Iris,IG,4,3,0.8,9,4,2.505
Iris,IG,4,4,1,9,4,8.379
Iris,IG,4,5,0.933333,9,4,0
Iris,IG,4,6,0.9,13,4,14.847
Iris,IG,4,7,0.966667,7,4,4.494
Iris,IG,4,8,0.966667,11,4,6.75
Iris,IG,4,9,0.933333,13,4,3.505
Iris,IG,4,10,0.966667,9,4,9.235
Iris,IG,4,11,1,9,4,0
Iris,IG,4,12,0.866667,9,4,8.221
Iris,IG,4,13,0.9,9,4,8.122
Iris,IG,4,14,0.966667,13,4,4.608
Iris,IG,4,15,0.866667,9,4,0
Iris,IG,4,16,0.9,9,4,16.128
Iris,IG,4,17,0.933333,9,4,8.333
Iris,IG,4,18,0.933333,9,4,0
Iris,IG,4,19,0.966667,9,4,0
Iris,IG,4,20,0.933333,13,4,17.813
Adult,IG,5,1,0.811667,560,5,267.982
Adult,IG,5,2,0.778333,566,5,247.012
Adult,IG,5,3,0.796667,573,5,253.05
Adult,IG,5,4,0.81,560,5,270.951
Adult,IG,5,5,0.801667,582,5,246.524
Adult,IG,5,6,0.755,599,5,246.689
Adult,IG,5,7,0.81,583,5,207.09
Adult,IG,5,8,0.781667,574,5,294.211
Adult,IG,5,9,0.788333,555,5,265.04
Adult,IG,5,10,0.805,591,5,296.278
Adult,IG,5,11,0.785,592,5,276.006
Adult,IG,5,12,0.753333,567,5,231.293
Adult,IG,5,13,0.793333,617,5,236.165
Adult,IG,5,14,0.8,623,5,285.182
Adult,IG,5,15,0.791667,605,5,255.219
Adult,IG,5,16,0.798333,613,5,222.471
Adult,IG,5,17,0.791667,585,5,237.987
Adult,IG,5,18,0.761667,573,5,235.97
Adult,IG,5,19,0.783333,598,5,263.441
Adult,IG,5,20,0.78,581,5,255.446
Iris,IG,5,1,0.833333,15,5,10.706
Iris,IG,5,2,0.833333,15,5,6.59
Iris,IG,5,3,0.966667,19,5,8.136
